ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,TomskregionSelkup_traditional_OGUL,,,,,,rantanen2021uralic,,map,
1,Tomsk region Selkup (Central Selkup),,,,selk1253,traditional,rantanen2021uralic,features,feature,map_1
2,Tomsk region Selkup (Ket' Selkup),,,,selk1253,traditional,rantanen2021uralic,features,feature,map_1
3,Tomsk region Selkup (Southern Selkup),,,,selk1253,traditional,rantanen2021uralic,features,feature,map_1
map_2,PiteSaami_traditional_OGUL,,,,,,rantanen2021uralic,,map,
4,Pite Saami (Arves dialect),,,,pite1240,traditional,rantanen2021uralic,features,feature,map_2
5,Pite Saami (Northern dialect),,,,pite1240,traditional,rantanen2021uralic,features,feature,map_2
6,Pite Saami (Central dialect),,,,pite1240,traditional,rantanen2021uralic,features,feature,map_2
7,Pite Saami (Southern dialect),,,,pite1240,traditional,rantanen2021uralic,features,feature,map_2
map_3,AanaarSaami_traditional_OGUL,,,,,,rantanen2021uralic,,map,
8,Aanaar Saami,,,,inar1241,traditional,rantanen2021uralic,features,feature,map_3
map_4,MeadowMari_traditional_OGUL,,,,,,rantanen2021uralic,,map,
9,Meadow Mari,,,,gras1239,traditional,rantanen2021uralic,features,feature,map_4
map_5,NorthKhanty_traditional_OGUL,,,,,,rantanen2021uralic,,map,
10,North Khanty (Obdorsk Khanty),,,,obdo1234,traditional,rantanen2021uralic,features,feature,map_5
11,North Khanty (Ob Khanty),,,,khan1273,traditional,rantanen2021uralic,features,feature,map_5
map_6,NorthMansi_traditional_OGUL,,,,,,rantanen2021uralic,,map,
12,North Mansi,,,,mans1258,traditional,rantanen2021uralic,features,feature,map_6
map_7,ErzyaMoksha_traditional_OGUL,,,,,,rantanen2021uralic,,map,
map_8,Erzya_traditional_OGUL,,,,,,rantanen2021uralic,,map,
13,Erzya,,,,erzy1239,traditional,rantanen2021uralic,features,feature,map_7 map_8
map_9,Moksha_traditional_OGUL,,,,,,rantanen2021uralic,,map,
14,Moksha,,,,moks1248,traditional,rantanen2021uralic,features,feature,map_7 map_9
map_10,KamasMator_traditional_OGUL,,,,,,rantanen2021uralic,,map,
15,Kamas,,,,kama1351,traditional,rantanen2021uralic,features,feature,map_10
16,Mator,,,,mato1250,traditional,rantanen2021uralic,features,feature,map_10
map_11,UmeSaami_traditional_OGUL,,,,,,rantanen2021uralic,,map,
17,Ume Saami (Western Ume Saami),,,,umes1235,traditional,rantanen2021uralic,features,feature,map_11
