id,name,glottocode,year,map_name_full,sources,note
1,Tomsk region Selkup (Central Selkup),selk1253,traditional,TomskregionSelkup_traditional_OGUL,"Tučkova et al. 2004, Grünthal & Salminen 1993, Olga Kazakevich (p.c.)",
2,Tomsk region Selkup (Central Selkup),selk1253,traditional,TomskregionSelkup_traditional_OGUL,"Tučkova et al. 2004, Grünthal & Salminen 1993, Olga Kazakevich (p.c.)",
3,Tomsk region Selkup (Ket' Selkup),selk1253,traditional,TomskregionSelkup_traditional_OGUL,"Tučkova et al. 2004, Grünthal & Salminen 1993, Olga Kazakevich (p.c.)",
4,Tomsk region Selkup (Ket' Selkup),selk1253,traditional,TomskregionSelkup_traditional_OGUL,"Tučkova et al. 2004, Grünthal & Salminen 1993, Olga Kazakevich (p.c.)",
5,Tomsk region Selkup (Southern Selkup),selk1253,traditional,TomskregionSelkup_traditional_OGUL,"Tučkova et al. 2004, Grünthal & Salminen 1993, Olga Kazakevich (p.c.)",Čaja dialect
6,Tomsk region Selkup (Southern Selkup),selk1253,traditional,TomskregionSelkup_traditional_OGUL,"Tučkova et al. 2004, Grünthal & Salminen 1993, Olga Kazakevich (p.c.)",Middle Ob' dialect
7,Pite Saami (Arves dialect),pite1240,traditional,PiteSaami_traditional_OGUL,"Sammallahti 1998: 21-22, Lehtiranta 1992, Omma 2019",
8,Pite Saami (Northern dialect),pite1240,traditional,PiteSaami_traditional_OGUL,"Sammallahti 1998: 21-22, Lehtiranta 1992, Omma 2019",
9,Pite Saami (Central dialect),pite1240,traditional,PiteSaami_traditional_OGUL,"Sammallahti 1998: 21-22, Lehtiranta 1992, Omma 2019",
10,Pite Saami (Southern dialect),pite1240,traditional,PiteSaami_traditional_OGUL,"Sammallahti 1998: 21-22, Lehtiranta 1992, Omma 2019",
11,Aanaar Saami,inar1241,traditional,AanaarSaami_traditional_OGUL,"Itkonen 1948: 246-250, 266-272, Nickul 1952, Aikio 2017, Taarna Valtonen (p.c.)",
12,Meadow Mari,gras1239,traditional,MeadowMari_traditional_OGUL,"Ivanov 1981, Sepeev 1975",
13,North Khanty (Obdorsk Khanty),obdo1234,traditional,NorthKhanty_traditional_OGUL,"Zsirai 1937, Lytkin et al. 1976, Mária Sipos (p.c.)",
